player_name,bbref_slug,team,salary,years_remaining,is_rookie_scale,has_player_option,has_team_option
Sandro Mamukelashvili,mamuksa01,TOR,2461463,2,False,True,False
Trendon Watford,watfotr01,PHI,2461463,2,False,False,True
Jericho Sims,simsje01,MIL,2461463,2,False,True,False
Dru Smith,smithdr01,MIA,2378870,3,False,False,True
Josh Minott,minotjo01,BRK,2378870,2,False,False,True
Justin Champagnie,champju01,WAS,2349578,3,False,False,True
Jordan Goodwin,goodwjo01,PHO,2349578,1,False,False,True
Jay Huff,huffja01,IND,2349578,3,False,False,False
Keon Johnson,johnske07,BRK,2349578,1,False,False,False
Vít Krejčí,krejcvi01,POR,2349578,3,False,False,True
Neemias Queta,quetane01,BOS,2349578,2,False,False,True
A.J. Green,greenaj01,MIL,2301587,5,False,False,False
Vince Williams Jr.,willivi01,UTA,2301587,1,False,False,False
Keon Ellis,elliske01,CLE,2301587,1,False,False,True
Ryan Kalkbrenner,kalkbry01,CHO,2296274,4,False,False,True
Sion James,jamessi01,CHO,2296274,4,False,False,True
Danté Exum,exumda01,WAS,2296274,1,False,False,False
Anthony Gill,gillan01,WAS,2296274,1,False,False,False
Chris Boucher,bouchch01,UTA,2296274,1,False,False,False
Chris Paul,paulch01,TOR,2296274,1,False,False,False
Garrett Temple,templga01,TOR,2296274,1,False,False,False
Bismack Biyombo,biyombi01,SAS,2296274,1,False,False,False
Lindy Waters III,waterli01,SAS,2296274,1,False,False,False
Jordan McLaughlin,mclaujo01,SAS,2296274,1,False,False,False
Russell Westbrook,westbru01,SAC,2296274,1,False,False,False
Doug McDermott,mcderdo01,SAC,2296274,1,False,False,False
Drew Eubanks,eubandr01,SAC,2296274,1,False,False,False
Blake Wesley,weslebl01,POR,5643732,1,False,False,True
Cole Anthony,anthoco01,PHO,5996274,3,False,False,False
Amir Coffey,coffeam01,PHO,2296274,1,False,False,False
Collin Gillespie,gilleco01,PHO,2296274,1,False,False,False
Kyle Lowry,lowryky01,PHI,2296274,1,False,False,False
Mason Plumlee,plumlma01,OKC,3022108,1,False,False,False
Landry Shamet,shamela01,NYK,2296274,1,False,False,False
Jordan Clarkson,clarkjo01,NYK,12947835,1,False,False,False
Bones Hyland,hylanbo01,MIN,2296274,1,False,False,False
Joe Ingles,inglejo01,MIN,2296274,1,False,False,False
Thanasis Antetokounmpo,antetth01,MIL,2296274,1,False,False,False
Eric Gordon,gordoer01,MEM,2296274,1,False,False,False
Josh Okogie,okogijo01,HOU,2296274,1,False,False,False
Jeff Green,greenje02,HOU,2296274,1,False,False,False
Aaron Holiday,holidaa01,HOU,2296274,1,False,False,False
Jae'Sean Tate,tateja01,HOU,2296274,1,False,False,False
Gary Payton II,paytoga02,GSW,2296274,1,False,False,False
Javonte Green,greenja02,DET,2296274,1,False,False,False
Tim Hardaway Jr.,hardati02,DEN,2296274,1,False,False,False
Bruce Brown,brownbr01,DEN,2296274,1,False,False,False
Marvin Bagley III,baglema01,DAL,2296274,1,False,False,False
Thomas Bryant,bryanth01,CLE,2296274,1,False,False,False
Larry Nance Jr.,nancela02,CLE,2296274,1,False,False,False
Keaton Wallace,wallake01,ATL,2296274,1,False,False,False
Jock Landale,landajo01,ATL,2296274,1,False,False,False
Scotty Pippen Jr.,pippesc02,MEM,2270735,3,False,False,False
JD Davison,davisjd01,BOS,2270735,1,False,False,True
Brandon Williams,willibr03,DAL,2270735,1,False,False,False
Moussa Diabaté,diabamo01,CHO,2270735,2,False,False,False
DeAndre Jordan,jordade01,NOP,2269880,1,False,False,False
Toumani Camara,camarto01,POR,2221677,5,False,False,False
Gui Santos,santogu01,GSW,2221677,4,False,True,True
Rayan Rupert,ruperra01,POR,2353647,1,False,False,True
Julian Phillips,phillju01,MIN,2221677,2,False,False,True
GG Jackson II,jacksgg01,MEM,2221677,2,False,False,True
Jalen Pickett,pickeja02,DEN,2221677,2,False,False,True
Hunter Tyson,tysonhu01,BRK,2221677,1,False,False,False
Jalen Wilson,wilsoja03,BRK,2221677,1,False,False,True
Jordan Walsh,walshjo01,BOS,2221677,2,False,False,True
Trayce Jackson-Davis,jackstr02,TOR,2221677,2,False,False,True
Andre Jackson Jr.,jacksan01,MIL,2221677,2,False,False,True
Craig Porter Jr.,portecr01,CLE,2221677,2,False,False,True
Leonard Miller,millele01,CHI,2221677,2,False,False,True
Duop Reath,reathdu01,ATL,2221677,1,False,False,False
Mouhamed Gueye,gueyemo02,ATL,2221677,2,False,False,True
JaVale McGee,mcgeeja01,DAL,2208856,3,False,False,False
Tyler Kolek,kolekty01,NYK,2191897,3,False,False,True
Jaylen Clark,clarkja02,MIN,2191897,1,False,False,False
Tyrese Martin,martity01,BRK,2191897,1,False,False,True
Precious Achiuwa,achiupr01,SAC,2111516,1,False,False,False
Justin Edwards,edwarju01,PHI,2048494,3,False,False,True
Nigel Hayes-Davis,hayesni01,MIL,2048494,1,False,False,False
N'Faly Dante,nfalyda01,ATL,2048494,1,False,False,False
Johnny Furphy,furphjo01,IND,1955377,3,False,False,True
Jonathan Mogbo,mogbojo01,TOR,1955377,2,False,False,True
Jamal Shead,sheadja01,TOR,1955377,2,False,False,True
Oso Ighodaro,ighodos01,PHO,1955377,3,False,False,True
Ariel Hukporti,hukpoar01,NYK,1955377,1,False,False,True
Karlo Matković,matkoka01,NOP,1955377,2,False,False,True
Tyler Smith,smithty02,MIL,1955377,1,False,False,False
Keshad Johnson,johnske10,MIA,1955377,1,False,False,True
Jaylen Wells,wellsja01,MEM,1955377,3,False,False,True
Bronny James,jamesbr02,LAL,1955377,3,False,False,True
Cam Christie,chrisca02,LAC,1955377,3,False,False,True
Quinten Post,postqu01,GSW,1955377,1,False,False,True
Bobi Klintman,klintbo01,DET,1955377,1,False,False,False
Isaac Jones,jonesis01,DET,1955377,1,False,False,True
